SKU,Name,Category,Stock,Min Stock,Standard Cost,Selling Price,Supplier,Status
"VSH-ST","Vishal Shakti","Seeds","6","5","580.4167","700","ASHIRWAD SEEDS","In Stock"
"PAN-89","Pan 849 Ahana","Seeds","3","5","1065.625","1200","ASHIRWAD SEEDS","Low Stock"
"SRD-88","SRD 88","Seeds","7","5","638.9286","800","ASHIRWAD SEEDS","In Stock"
"NP7-NN","NP-7061 Indrani","Seeds","3","5","583.9286","680","ASHIRWAD SEEDS","Low Stock"
"VSH-SN","Vishal Sona Bold","Seeds","0","5","613.8889","700","ASHIRWAD SEEDS","Out of Stock"
"SHR-KP","Ashirwad -Kalachampa Gold","Seeds","1","4","777.8571","850","ASHIRWAD SEEDS","Low Stock"
"SIN-DH","Sindhu","Seeds","1","4","977.4358","1020","ASHIRWAD SEEDS","Low Stock"
"VSH-GV","Vishal Gaurav","Seeds","17","6","610.495","650","ASHIRWAD SEEDS","In Stock"
"NP7-07","NP-7075","Seeds","6","6","682.4167","750","ASHIRWAD SEEDS","Low Stock"
"PAN-84","Pan 804 (Jamuna)","Seeds","6","6","740.4167","800","ASHIRWAD SEEDS","Low Stock"
"YSH-RJ","Yashraj","Seeds","0","3","520.9117","560","ASHIRWAD SEEDS","Out of Stock"
"TRM-P1","Trump-162LS","Seeds","0","5","1005.9486","1050","ASHIRWAD SEEDS","Out of Stock"
"NR-TP","NR TSP 46%-IMP","Fertilizers","10","5","1324.7429","0","AGROCHEM","In Stock"
"IPL-MP","IPL MOP","Fertilizers","25","10","1874.7429","0","AGROCHEM","In Stock"
"NR-23","NR 20/20/0/13","Fertilizers","20","5","1819.7429","0","AGROCHEM","In Stock"
"GR-23","Gr 20/20/0/13","Fertilizers","20","5","1819.7429","0","AGROCHEM","In Stock"
"NR-DP","NR DAP","Fertilizers","10","10","1374.7429","0","AGROCHEM","Low Stock"
"IPL-DP","IPL DAP","Fertilizers","10","10","1374.7429","0","AGROCHEM","Low Stock"
"GR-20","Gr 28/28/0","Fertilizers","15","5","1919.7429","0","AGROCHEM","In Stock"
"MTX-UR","Matix Urea","Fertilizers","20","10","289.7429","0","AGROCHEM","In Stock"
"PRM-PT","Prom (Prabhat)-","Fertilizers","5","5","1279.7429","0","AGROCHEM","Low Stock"
"MTX-ZC","Matix Zinc Sulphate (33 %) -","Soil Conditioners","20","5","190.9804","0","AGROCHEM","In Stock"
"SHK-RJ","Shaktiman Oorja (Fco)","Soil Conditioners","25","10","90.7843","0","AGROCHEM","In Stock"
"CHM-VX","Chemfree Vamax","Soil Conditioners","18","5","551.0893","0","AGROCHEM","In Stock"
"NAS-HA","Nashak","Pesticides","40","5","150.4902","0","AGROCHEM","In Stock"
